CM_py,CM_Star_py,CSe
117.6877573,9.055735825,4.651084443
137.239575,9.340536063,4.748940047
41.66494893,7.306858244,3.459431619
272.1703523,10.09054972,4.860877049
52.07457331,7.522322944,3.906890596
132.7527642,9.096991751,4.786425874
308.1093363,10.15740931,2.910549612
87.84619335,8.55342158,4.349648913
133.268836,9.125080887,4.843568731
71.93911738,7.914985157,4.095795255
158.3367596,9.565912855,4.855789719
107.5842604,8.897034982,4.593069208
75.92222526,8.199914214,4.349648913
71.73997659,8.364968201,3.852168724
40.60625608,7.363281118,3.418295834
45.18710774,7.366546003,3.773557262
87.99544327,8.828393632,4.021928095
143.9664734,9.354343409,4.702564514
138.9150014,9.361986621,4.947702779
117.6877573,9.055735825,4.651084443
112.5515255,9.034424645,4.735926351
72.90766973,8.376981961,3.572431251
96.04706782,8.575168903,4.623516641
100.7486724,8.634270528,4.606739354
302.0210675,10.29262552,5.20233191
131.6770805,9.091034951,4.892147224
166.9863859,9.367472124,3.840449391
102.3370727,8.581723441,4.235926351
79.88025555,8.537846972,4.297079328
56.35421145,7.587134741,3.947702779
157.9201766,9.298057737,4.961148476
34.0946661,6.864941768,2.646439345
64.67527157,8.064833094,3.794653474
339.3231664,10.55751353,5.498871107
117.1534884,8.860553164,4.862575938
88.71335068,8.628442444,3.936180434
48.752387,7.711739374,3.664497779
127.870668,8.963549883,4.729283017
276.4861566,10.26167428,5.649609443
48.5045447,7.359165979,3.640223929
45.8865031,7.439498974,2.584962501
48.752387,7.711739374,3.664497779
48.752387,7.697909456,3.584962501
88.77451039,8.744731045,4.523561956
59.98838572,8.079069171,3.852168724
30.86057132,7.170080201,3
61.89668392,7.981690421,3.375
83.5456326,8.238356508,3.97366069
67.2166512,8.329815619,3.572469459
109.8373315,8.910282153,4.556088323
83.73996329,8.455187763,3.368522528
96.55976113,8.629986056,4.440636353
62.09408097,8.096015711,3.852168724
121.9088637,8.863220699,4.321721231
69.22462792,7.991689692,4.152391278
114.1293911,8.816806185,4.631615665
48.752387,7.697909456,3.584962501
71.93911738,7.914985157,4.095795255
130.6276718,9.192712146,4.300554385
100.3347025,8.741862203,4.440636353
52.35265389,7.487643082,3.5
88.46767062,8.533291953,3.2089873
94.92606923,8.724908838,4.501629167
253.166661,10.1589773,5.519454883
125.9094321,8.905785049,4.56965721
53.21036268,7.67564576,3.589898095
94.27466229,8.992845495,4.368522528
37.2123903,7.320432969,3.121928095
100.0157499,8.503091042,4.28468381
146.3240227,9.275142698,5.037401198
85.87496374,8.303074935,3.486440502
158.235465,9.29999086,3.718748987
117.6877573,9.055735825,4.651084443
23.67318334,6.272341669,2.807354922
104.6080276,8.64403541,2.896291529
127.870668,8.966436855,4.781036113
157.9201766,9.298057737,4.961148476
47.3346197,7.385289289,3.521640636
